Feature_ID,Mutual_Information,F_score,Feature_Importance,RFE_ranking,Feature_Labels
216,0.0,0.2764345508619133,7.967547797108693e-05,89,x1_nginx/1.10.0,
217,0.0,0.13812878805872172,1.736794674496208e-05,194,x1_nginx/1.10.0 (Ubuntu),
218,0.004676113750166522,10.850885749096443,0.0008724269470597968,7,x1_nginx/1.10.1,
219,0.00401393571977926,0.6924170954676618,2.6769816867196254e-05,64,x1_nginx/1.10.1 + Phusion Passenger 5.0.30,
220,0.0019573157145309494,0.13812878805872172,2.7573956154620464e-05,191,x1_nginx/1.10.2,
221,0.004914771834417353,0.6924170954676618,2.9547492395838238e-05,86,x1_nginx/1.10.3,
222,0.0,0.5535783629191106,8.38073588337613e-05,93,x1_nginx/1.11.10,
223,0.0,0.2764345508619133,0.0,158,x1_nginx/1.11.2,
224,0.0002948369730486622,0.4149176287456223,3.121124775328582e-05,127,x1_nginx/1.11.3,
225,0.0014043999173918298,1.8367845784468084,0.003375126094858464,23,x1_nginx/1.12.0,
226,0.012742279410769441,0.2764345508619133,5.996317559587247e-05,73,x1_nginx/1.13.0,
227,0.005853857091645542,0.28998550910399,0.0004381849231102623,29,x1_nginx/1.2.1,
228,0.0,0.13812878805872172,0.0,202,x1_nginx/1.2.6,
229,0.0,0.13812878805872172,0.0,175,x1_nginx/1.4.3,
230,0.002202052515335451,0.13812878805872172,2.489387322395536e-07,229,x1_nginx/1.4.4,
231,0.018148925625424583,0.008995576676596489,0.000672756639797416,105,x1_nginx/1.4.6 (Ubuntu),
232,0.01017108134235456,0.11543491440492096,0.0005639287622625139,59,x1_nginx/1.6.2,
233,0.0,0.13812878805872172,7.838597137586885e-06,182,x1_nginx/1.6.3,
234,0.004300538278807942,0.2764345508619133,4.650700646886708e-05,109,x1_nginx/1.6.3 + Phusion Passenger,
235,0.0,0.13812878805872172,0.0,232,x1_nginx/1.7.12,
236,0.0053168695118168685,0.13812878805872172,9.404698574839299e-06,106,x1_nginx/1.7.4,
237,0.0,4.852037231295973,0.0005819151377191928,22,x1_nginx/1.8.0,
238,0.01190865594758872,1.2495588819366228,0.00016238964267133207,79,x1_nginx/1.8.1,
239,0.0,0.2764345508619133,4.7424659849410055e-06,184,x1_nginx/1.9.13,
240,0.0,7.26159457233617,0.0008538958206794918,37,x1_nxfps,
241,0.0,0.5535783629191106,4.843098278725008e-05,135,x1_openresty,
242,0.007074121207980566,0.4149176287456223,6.426112392991045e-06,272,x1_openresty/1.11.2.1,
243,0.0,0.13812878805872172,1.940307993293556e-05,197,x1_openresty/1.11.2.2,
244,0.005220704176883695,0.2764345508619133,1.2182213513979335e-05,183,x1_squid/3.3.8,
245,0.005937528323124885,0.2764345508619133,0.0,208,x1_tsa_c,
246,0.0074373000132088585,0.13812878805872172,0.0,176,x1_www.lexisnexis.com  9999,
247,0.0,0.13812878805872172,0.00011213920663035969,35,x2_AE,
248,0.0,0.5535783629191106,0.00011790723134869241,55,x2_AT,
249,0.015226561030181385,4.9420817036454965,0.0016605823173691647,17,x2_AU,
250,0.0,0.4149176287456223,7.832114980662e-05,53,x2_BE,
251,0.0,14.591054514507256,0.0015529982843384984,9,x2_BR,
